restaurant_id,restaurant_name,address1,city,state,zip_code,country,rating,review_count,price
89,mission bowling club,3176 17th St,San Francisco,CA,94110.0,US,4.0,672.0,$$
90,mission curry house,2434 Mission St,San Francisco,CA,94110.0,US,4.4,237.0,$$
91,moki's sushi & pacific grill,615 Cortland Ave,San Francisco,CA,94110.0,US,3.9,511.0,$$
92,noeteca wine bar,1551 Dolores St,San Francisco,CA,94110.0,US,4.3,518.0,$$
93,nonna's ristorante italiano,2020 Mission St,San Francisco,CA,94110.0,US,2.0,17.0,
94,noodle girl,2948 Folsom St,San Francisco,CA,94110.0,US,3.8,9.0,
95,nute's,903 Cortland Ave,San Francisco,CA,94110.0,US,4.3,372.0,$$
96,old jerusalem restaurant,2966 Mission St,San Francisco,CA,94110.0,US,4.2,1238.0,$$
97,penny roma,3000 20th St,San Francisco,CA,94110.0,US,3.9,345.0,
98,petra mediterranean,680 Valencia St,San Francisco,CA,94110.0,US,3.9,20.0,
99,pho day,59 30th St,San Francisco,CA,94110.0,US,4.1,138.0,$$
100,piglet & co,2170 Mission St,San Francisco,CA,94110.0,US,4.2,135.0,
101,pinche sushi,564 S Van Ness Ave,San Francisco,CA,94110.0,US,4.6,37.0,
102,precita park cafe,500 Precita Ave,San Francisco,CA,94110.0,US,3.5,487.0,$$
103,prubechu,2224 Mission St,San Francisco,CA,94110.0,US,4.4,649.0,$$
104,puerto alegre,546 Valencia St,San Francisco,CA,94110.0,US,3.8,1143.0,$$
105,punjab restaurant,2838 24th St,San Francisco,CA,94110.0,US,3.9,258.0,$
106,quik dog,3010 20th St,San Francisco,CA,94110.0,US,4.3,7.0,
107,ramenwell,3378 18th St,San Francisco,CA,94110.0,US,4.1,468.0,$$
108,rasa rasa kitchen,2200 Bryant St,San Francisco,CA,94110.0,US,4.3,46.0,
109,raw sugar factory,525 Valencia St,San Francisco,CA,94110.0,US,3.9,797.0,$$
110,regalito rosticeria,3481 18th St,San Francisco,CA,94110.0,US,3.7,748.0,$$
111,rite spot cafe,2099 Folsom St,San Francisco,CA,94110.0,US,3.6,155.0,$
112,robin's cafe,3153 17th St,San Francisco,CA,94110.0,US,4.2,94.0,$$
113,rosamunde sausage grill,2832 Mission St,San Francisco,CA,94110.0,US,3.8,1004.0,$$
114,sake bomb,2878 24th St,San Francisco,CA,94110.0,US,4.3,190.0,$$
115,san ho won,2170 Bryant St,San Francisco,CA,94110.0,US,4.5,605.0,$$$$
116,sanjalisco mexican restaurant,901 S Van Ness Ave,San Francisco,CA,94110.0,US,4.2,1009.0,$$
117,seafood station,803 Cortland Ave,San Francisco,CA,94110.0,US,4.5,155.0,$$
118,señor sisig,990 Valencia St,San Francisco,CA,94110.0,US,4.1,534.0,$$
119,sidewalk juice,3287 21st St,San Francisco,CA,94110.0,US,4.1,348.0,$
120,stable cafe,2128 Folsom St,San Francisco,CA,94110.0,US,4.0,656.0,$$
121,stonemill matcha,561 Valencia St,San Francisco,CA,94110.0,US,4.2,1389.0,$$
122,sushi hon,2598 Harrison St,San Francisco,CA,94110.0,US,4.3,527.0,$$$$
123,sweet basil thai cuisine,3221 Mission St,San Francisco,CA,94110.0,US,3.4,408.0,$$
124,taco los altos,737 Cortland Ave,San Francisco,CA,94110.0,US,3.8,268.0,$
125,tacolicious,741 Valencia St,San Francisco,CA,94110.0,US,3.7,1653.0,$$
126,tacos del barrio,2817 24th St,San Francisco,CA,94110.0,US,4.4,98.0,$$
127,tacos el patrón,1500 S Van Ness Ave,San Francisco,CA,94110.0,US,4.2,882.0,$$
128,tadka indian restaurant,3066 24th St,San Francisco,CA,94110.0,US,4.4,123.0,$$
129,taishoken san francisco,665 Valencia St,San Francisco,CA,94110.0,US,4.5,383.0,$$
130,taqueria cancún,2288 Mission St,San Francisco,CA,94110.0,US,4.0,2190.0,$$
131,taqueria el buen sabor,699 Valencia St,San Francisco,CA,94110.0,US,4.1,716.0,$$
132,taqueria vallarta,3033 24th St,San Francisco,CA,94110.0,US,4.0,942.0,$$
133,tartine bakery,600 Guerrero St,San Francisco,CA,94110.0,US,4.2,8842.0,$$
134,thanh tam ii,577 Valencia St,San Francisco,CA,94110.0,US,3.6,495.0,$$
135,the front porch,65 29th St,San Francisco,CA,94110.0,US,3.9,3253.0,$$
