menu_id,menu_category,restaurant_id
307,catering appetizers,32
308,salad,32
309,catering salad,32
310,desserts,32
311,catering fried rice,32
312,curry,32
313,pan fried noodle,32
314,catering pan fried noodles,32
315,vegetables,32
316,soup,32
317,soup,33
318,appetizers,33
319,vegetarian,33
320,beef (carne de res),33
321,chop suey,33
322,chow mein,33
323,egg foo young,33
324,fried rice,33
325,lo mein and mai fun,33
326,moo shu,33
327,poultry,33
328,miscellaneous,33
329,pork,33
330,seafood,33
331,pan fried noodle,33
332,sweet and sour,33
333,"salad, tofu and greens",34
334,fresh raw tastings,34
335,rice and noodle,34
336,sushi rice bowls,34
337,nigiri sushi,34
338,sushi rolls,34
339,sashimi,34
340,fried yummy things,34
341,ramen/udon/ soup,34
342,drinks,34
343,creamy udon carbonaras,34
344,sides and more,34
345,beverages,35
346,COOKIES,35
347,pastries & sweets,35
348,sandwiches,35
349,chips,35
350,salads & sides,35
351,Kids Menu,36
352,special plates,36
353,appetizers,36
354,seafood,36
355,drinks,36
356,breakfast,36
357,vegetarian,36
358,burritos,36
359,quesadillas,36
360,tacos,36
361,burritosburritos,36
362,breakfastbreakfast,36
363,appetizersappetizers,36
364,beverages,37
365,specialty items,37
366,breakfast,37
367,taqueria,37
368,specialty plates,37
369,beverages & sides,37
370,dessert,38
371,american roll (available 3:30 pm to 8:30 pm),38
372,appetizer,38
373,cocos ramen,38
374,rice bowl,38
375,alcoholic beverages (must be 21 to purchase),38
376,nigiri sushi and sashimi sets (available 4:00 pm to 9:00 pm),38
377,drinks,38
378,bento box (3:30 pm to 8:30 pm ),38
379,curry rice plate with miso soup and green salad,38
380,house roll (available 3:30 pm to 8:30pm),38
381,2 piece nigiri (available 3:30 pm to 8:30 pm),38
382,3 piece sashimi (available 3:30 pm to 8:30 pm),38
383,vegetarian roll(available 3:30 pm to 8:30 pm),38
384,petit gateau,39
385,all day light fare,39
386,counter,39
387,breads,39
388,celebration cake and tart,39
389,confections,39
390,coffee and tea,39
391,confitures,39
392,snack,39
393,other beverages,39
394,beer,39
395,specialty drinks,39
396,the counter,39
397,meat and seafood curry a la carte,40
398,meat and seafood curry combo,40
399,vegetable curry a la carte,40
400,vegetable curry combo,40
401,starters,40
402,sizzling platter a la carte,40
403,sizzling platter combo,40
404,drinks,40
405,sides,40
406,dessert,40
407,appetizers,41
408,entrees,41
409,dum biryani,41
410,soups,41
411,traditional drinks,41
412,soft drinks,41
413,dosas,41
414,indian breads,41
415,utappams,41
416,desserts,41
417,special-veg entrees,41
418,party trays,41
419,tandoor,41
420,sides,41
421,special menu,41
422,idli/vada,41
423,hot beverages,41
424,bar and high tops,42
425,tapas,42
426,red wine by the glass (5 ozs.) and/or by the bottle,42
427,cold tapas / salads,42
428,empanadillas : fried medium size empanadas,42
429,premium red wines by the bottle/spain,42
430,croquetas,42
431,vegetarian,42
432,paellas,42
433,seafood,42
434,non-alcoholic,42
435,premium white wines by the bottle( spain),42
436,beer,42
437,white wines by the glass and / or by the bottle (5 ozs.),42
438,desserts,42
439,"sherry, vermouth, sangrias and more",42
440,meat & poultry,42
441,pinchos - typically served on toasted bread -,42
442,conservas/ premium tinned fish from spain.,42
443,teas and milk teas,43
444,sea salt crema tea,43
445,ice cream tea floats,43
446,snacks,43
447,seasonals,43
448,SWEET TREATS,43
449,specialties,43
450,limited edition summer flavors,43
451,fruit teas,43
452,sexy drinks,43
453,matcha,43
454,boiled,44
455,small plates,44
456,steamed,44
457,noodle / 面条,44
458,vegetable,44
459,beverage / 饮料,44
460,pan-fried,44
461,soup / 汤品,44
462,fried,44
463,combo deals,44
464,dessert,44
465,echigo bento box,45
466,classic rolls,45
467,specialty mizudashi iced drinks,45
468,nigiri,45
469,veggie rolls,45
470,specialty matcha and hojicha drinks,45
471,lighter fare,45
472,main,45
473,donburi,45
474,oolong premium mizudashi tea,45
475,black premium mizudashi tea,45
476,designed rolls,45
477,sushi combo,45
478,iced organic cold brew coffee,45
479,sashimi,45
480,green premium mizudashi tea,45
481,kids meal,45
482,caffeine free premium mizudashi tea,45
483,family style,46
484,plato fuerte,46
485,abrebocas,46
486,sides,46
487,dessert,46
488,beverages,46
489,antojitos,46
490,tacos,47
491,burrito,47
492,drinks,47
493,bowl,47
494,birria consome,47
495,sandwich ( mexican torta on telera bread),47
496,mexican dishes,48
497,menu,48
498,burritos,48
499,tacos,48
500,sweet mornings,48
501,kids' menu,48
502,brunch menu,48
503,sandwiches,48
504,"bowl burrito, super, or regular",48
505,drinks,48
506,quesadillas,48
